"2023-09-06","23.968253968253965","29.857142857142858","40","706.1257142857141","152.96","186.62","205.09999999999997","152.96","186.62","205.09999999999997","755","755","29403.53","8349.16","781.6199999999999","51.95","28.12","8.110000000000001"
"2023-09-07","21.11683848797251","28.2680412371134","33","708.1439175257734","596.02","825.98","990.3199999999999","589.6699999999998","816.4000000000001","983.6899999999998","3294","3273","119813.04999999992","34459.28","4602.52","485.69999999999993","247.20999999999998","83.16000000000003"
"2023-09-08","18.006944444444443","35.13055555555555","28","710.4157222222224","7755.929999999998","10740.890000000003","12573.229999999985","7175.849999999995","9929.699999999995","11845.179999999986","36458","35371","1358365.1900000009","395914.02","54244.04999999999","5531.280000000002","2597.9600000000005","845.2099999999997"
"2023-09-09","18.445216049382715","31.969444444444445","28","710.4559722222219","8852.269999999999","12362.419999999987","14522.38999999999","8582.469999999996","11958.649999999992","14129.48999999999","42578","41973","1494737.0200000012","435635.0000000002","59830.17000000004","6274.640000000008","2962.7200000000034","882.8099999999993"
"2023-09-10","18.354166666666664","32.18472222222222","21","711.0382083333335","10287.769999999995","14431.469999999987","16769.999999999993","9661.789999999994","13533.469999999988","15892.359999999988","47361","46033","1713614.6400000015","500751.65999999974","71548.35000000003","7100.879999999994","3254.260000000003","964.7300000000001"
"2023-09-11","18.38819347859682","38.00417246175243","30","711.1319332406124","15309.590000000006","21351.219999999987","23938.640000000036","14362.180000000013","20278.33999999999","23253.630000000012","63429","61629","2498151.3699999987","728810.6600000004","103903.61999999998","8580.839999999997","3604.7400000000016","989.7100000000003"
"2023-09-12","18.64891975308642","38.394444444444446","31","710.9452083333332","13601.450000000013","18985.040000000008","21281.13000000001","13104.040000000003","18415.02000000001","20906.850000000002","58445","57575","2228659.580000002","650391.8599999999","93417.36000000004","7621.410000000002","3199.970000000001","908.3699999999998"
"2023-09-13","19.221298861188057","35.81578947368421","31","711.1021052631576","19760.399999999998","27536.38","31333.510000000017","17031.590000000004","24170.779999999988","28471.710000000032","73015","69124","3206174.1199999982","937394.1800000005","135112.16000000006","12133.309999999978","5329.929999999999","1581.1399999999978"
"2023-09-14","19.613122872175797","39.344011142061284","32","710.4789693593309","11289.679999999993","15461.940000000011","17037.830000000005","10982.210000000001","15121.520000000006","16863.150000000005","51092","50396","1869370.4799999986","546223.9500000003","76106.98999999996","5395.430000000001","2218.5699999999983","634.4099999999999"
"2023-09-15","19.602843455416473","36.477051460361615","33","710.166884561892","11308.610000000011","15829.239999999998","18036.319999999996","10540.280000000004","14813.119999999999","17269.560000000005","49320","47872","1868949.5400000017","546244.5799999995","78825.4499999999","6963.600000000005","3060.050000000001","925.2200000000005"
"2023-09-16","18.902797094730335","40.4923504867872","35","710.8256606397782","13048.619999999988","17964.619999999995","20156.18","12285.969999999988","17066.31999999999","19561.160000000007","55519","54225","2124752.169999999","620572.28","87336.04999999983","7028.15","3030.379999999998","913.3999999999997"
"2023-09-17","18.969135802469136","45.15694444444444","38","710.9555138888896","10678.420000000006","14377.220000000005","16009.330000000004","10454.74","14148.200000000004","15868.909999999998","48146","47780","1781941.3700000008","518201.4900000001","69275.86000000002","5263.839999999998","2262.5999999999995","726.4999999999993"
"2023-09-18","18.67949312316489","44.21696801112657","33","710.7147705146025","11662.410000000003","15437.689999999977","17072.269999999997","10921.69000000001","14643.419999999993","16511.390000000003","49808","48456","1898002.3499999985","550748.4699999999","67909.58999999997","5550.1100000000015","2254.479999999996","685.9400000000003"
"2023-09-19","18.840509595226575","40.40928882438316","34","710.3801741654576","10284.400000000007","14340.939999999999","16828.519999999997","9766.050000000008","13521.060000000001","15783.710000000001","46224","45330","1711808.690000001","499336.40000000014","71415.68000000005","7672.070000000001","3386.6700000000014","1126.9399999999998"
"2023-09-20","21.311230585424134","35.1505376344086","34","708.8234946236558","2537.6800000000003","3456.4","3870.3700000000013","2413.5300000000007","3316.160000000001","3796.8700000000013","11739","11405","458654.41999999987","132851.73000000004","17691.96","1771.019999999999","631.6700000000002","202.90999999999997"
"2023-09-21","18.929279073311996","40.43758573388203","33","709.8281755829908","7054.569999999993","9261.690000000002","10242.029999999997","6761.989999999991","8886.11","9931.660000000002","33720","33189","1305038.729999998","377030.99000000005","45875.96","3683.4800000000014","1491.3000000000004","488.57"
"2023-09-22","20.548930531894754","30.555366269165248","30","709.7236456558785","6524.280000000006","8815.61","9877.619999999999","6115.510000000007","8317.149999999996","9510.490000000002","30220","29428","1199761.0100000014","347460.0699999997","44389.11999999997","4473.530000000002","1598.290000000001","520.1800000000002"
"2023-09-23","12.805449127288208","48.97701149425287","34","710.7555172413792","3348.149999999996","4624.930000000002","5202.360000000002","3236.5699999999956","4484.180000000005","5128.8600000000015","16213","15940","595224.5799999994","174471.69999999992","24783.92000000001","2375.4599999999996","870.4199999999998","288.6800000000001"
"2023-09-24","21.64333333333333","32.034","28","710.0933400000001","5749.369999999998","7734.229999999999","8552.189999999997","5321.5099999999975","7198.459999999998","8128.579999999995","25966","25143","1043122.1099999984","303838.6200000001","39490.64999999997","3590.6999999999994","1238.3499999999997","384.83000000000004"
"2023-09-25","19.214559386973185","36.097931034482755","28","711.3523586206894","9215.660000000007","12511.330000000004","14052.659999999993","8791.970000000007","11993.779999999995","13709.249999999995","43366","42338","1658751.1999999997","482453.4","64736.45","6413.009999999997","2322.2299999999996","796.3699999999993"
"2023-09-26","19.703132304815338","34.50210378681627","34","711.364347826087","10201.789999999988","14003.180000000004","15905.280000000006","9748.569999999996","13362.369999999999","15288.06000000001","47269","46263","1825569.0799999994","531632.9399999998","73252.53000000001","7700.600000000005","2863.2199999999984","987.0299999999999"
"2023-09-27","19.565318456531845","39.67085076708508","36","710.858995815899","11450.399999999994","15683.490000000007","17865.319999999974","10825.849999999995","14823.250000000013","16910.699999999986","49952","48902","2025021.5300000012","591612.4599999995","83483.34000000003","8345.499999999998","3277.1600000000003","1152.1899999999994"
"2023-09-28","21.016835016835014","40.68484848484849","35","710.453545454546","16814.989999999987","22992.419999999987","25052.630000000034","14361.030000000004","20196.78999999997","23450.09000000002","64555","59782","2893025.4","845943.9499999995","118731.35000000002","10571.020000000002","3106.9500000000085","954.6000000000009"
"2023-09-29","24.568792619334136","34.667870036101085","40","708.7298194945847","4317.430000000001","5898.67","6497.799999999998","4175.679999999999","5736.289999999998","6394.8099999999995","19619","19273","771019.1","223484.4400000001","30268.38","3000.5699999999997","906.96","283.73999999999995"
"2023-09-30","17.87178301741408","51.77115117891817","39","711.0160471567274","6540.260000000001","8545.199999999997","9263.489999999998","6114.630000000001","8011.899999999996","8844.879999999996","29567","28807","1213523.3999999992","351612.8600000003","41348.94999999999","3317.7500000000027","1087.43","356.3199999999998"
"2023-10-01","19.90241278623021","46.79253112033195","41","711.1920470262792","10989.860000000013","14460.859999999979","15817.979999999985","10491.420000000015","13882.829999999987","15395.089999999987","48086","47124","1938300.6800000009","563348.22","73253.36","5639.790000000004","2045.2599999999986","713.2500000000001"
"2023-10-02","19.48265321717866","46.920220082530946","40","710.2869738651995","9772.550000000008","12999.499999999996","14344.610000000017","9261.75","12327.66","13757.450000000017","44161","43201","1744267.63","506314.9200000002","66768.65000000007","5616.73","2030.1299999999987","654.5400000000001"
"2023-10-03","18.42592592592593","55.275","43","710.5184861111107","6535.32","8828.269999999997","10142.470000000003","6095.289999999997","8179.610000000005","9377.590000000007","29235","28520","1213211.2299999986","352925.82000000024","46698.70999999998","4666.560000000003","1985.7799999999977","680.96"
